Designator,Qty,Populate_Base,Populate_Full,Function,Manufacturer,MPN_or_Class,Package_or_Footprint,Notes
U1,1,YES,YES,MCU,Espressif,ESP32-S3-WROOM-1-N8,ESP32-S3-WROOM-1,8MB flash; antenna keepout mandatory
U2,1,YES,YES,Ethernet controller,WIZnet,W5500,LQFP-48_7x7mm_P0.5mm,3.3V SPI Ethernet
J1,1,YES,YES,Ethernet MagJack,CETUS,J1B1211CCD,Integrated_RJ45_MagJack,WIZnet-approved prototype target; exact mechanical/LED pinout gate remains
Y1,1,YES,YES,W5500 crystal,Multiple,25MHz crystal,Crystal_SMD,Exact MPN/CL to be frozen with final oscillator load-cap calculation
U3-U4,2,YES,YES,RS485 transceiver,Texas Instruments,THVD1410D,SOIC-8,Independent non-isolated half-duplex ports
D_RS485A-D_RS485B,2,YES,YES,RS485 field TVS,Semtech,SM712.TCT,SOT-23,Asymmetric RS485 TVS at connector side
U5,1,YES,YES,Field input to 5V buck,Texas Instruments,TPS54360B,DDA_HSOIC-8_PowerPAD,60V input 3.5A class
L1,1,YES,YES,5V buck inductor,Wurth_or_equiv,8.2uH >=5A,Power_Inductor,TPS54360EVM-derived starting target; exact MPN to freeze with thermal review
CIN1-CIN2,2,YES,YES,5V buck input ceramic,Multiple,2.2uF 100V X7R,1210,Effective capacitance under 30V DC bias must be checked
COUT1-COUT2,2,YES,YES,5V buck output ceramic,Multiple,47uF 10V X5R/X7R,1210,Effective capacitance at 5V must be checked
U6,1,YES,YES,5V to 3.3V buck,Diodes Incorporated,AP63203WU-7,TSOT26,Fixed 3.3V 2A synchronous buck
K1-K4,4,YES,YES,Relay,Hongfa,HF3FF/005-1ZST,THT_Custom_HF3FF,5V coil Form-C dry contact
Q1-Q4,4,YES,YES,Relay driver,Multiple,AO3400A-class,SOT-23,NMOS low-side driver; must be fully enhanced at 3.3V gate
D_FLY1-D_FLY4,4,YES,YES,Relay flyback,Multiple,SS14-class,SMA_or_SOD123,Across relay coil
R_PD1-R_PD4,4,YES,YES,Relay gate pulldown,Multiple,10k,0603,Stronger hardware OFF bias during reset/brownout
LED1-LED4,4,YES,YES,Relay indication,Multiple,LED,0603_or_0805,One per relay
J_RELAY1-J_RELAY4,4,YES,YES,Relay field terminal,Multiple,3P 5.08mm field terminal,THT_P5.08,NC COM NO; exact rated vendor MPN remains mechanical/safety gate
J_PWR,1,YES,YES,Field power terminal,Multiple,2P 5.08mm field terminal,THT_P5.08,VIN+ VIN-
J_RS485A-J_RS485B,2,YES,YES,RS485 terminal,Multiple,3P 5.08mm field terminal,THT_P5.08,A B GND
J_HMI,1,YES,YES,Serial HMI,JST,B4B-XH-A,JST_XH_B4B-XH-A,+5V GND TX RX
U_HMIBUF,1,YES,YES,HMI 5V RX protection/buffer,Texas Instruments,SN74LVC1G17DBVR,SOT-23-5,3.3V powered; accepts input to 5.5V; Ioff partial-power/back-drive protection
D_HMI_RX_ESD,1,YES,YES,HMI RX ESD,Texas Instruments,TPD1E10B06DYAR,SOD-523,Bidirectional 5.5V UART/GPIO protection at connector side
C_HMIBUF,1,YES,YES,HMI buffer decoupling,Multiple,0.1uF,0603,Place at U_HMIBUF VCC/GND
